Run,Time.Step,Population.Size,Group.Members,Floaters,Lambda,Trait.Index..0,Trait.Index..1,Trait.Index..2,Trait.Index..3,Trait.Index..4,Trait.Index..5,Inside
2,0,0,0,0,1,0,0,0,0,0,0,0
2,1,2057,1242,815,1,0,0,0,0,276,1781,0
2,2,2677,1950,727,1.30141,0,0,0,13,290,2374,13
2,3,3262,2316,946,1.218528,0,0,0,1,253,3008,1
2,4,3860,2598,1262,1.183323,0,0,0,0,345,3515,0
2,5,3903,2415,1488,1.01114,0,0,0,13,399,3491,13
2,6,4029,2535,1494,1.032283,0,0,0,11,411,3607,11
2,7,3606,2215,1391,0.895011,0,0,0,4,345,3257,4
2,8,3752,2542,1210,1.040488,0,0,0,18,261,3473,18
2,9,3956,2597,1359,1.054371,0,0,1,6,307,3642,7
2,10,3994,2522,1472,1.009606,0,0,1,12,360,3621,13
2,11,3962,2487,1475,0.991988,0,0,0,8,333,3621,8
2,12,4274,2729,1545,1.078748,0,0,0,3,375,3896,3
2,13,4358,2650,1708,1.019654,0,0,0,9,417,3932,9
2,14,4283,2536,1747,0.98279,0,0,0,9,402,3872,9
2,15,4143,2486,1657,0.967313,0,0,1,7,391,3744,8
2,16,4096,2537,1559,0.988656,0,0,0,8,313,3775,8
2,17,3870,2326,1544,0.944824,0,0,0,2,301,3567,2
2,18,3937,2608,1329,1.017313,0,0,0,5,182,3750,5
2,19,3872,2545,1327,0.98349,0,0,0,12,201,3659,12
2,20,3892,2549,1343,1.005165,0,0,0,12,206,3674,12
2,21,4075,2590,1485,1.047019,0,0,0,19,204,3852,19
2,22,3926,2445,1481,0.963436,0,0,0,4,238,3684,4
2,23,4091,2658,1433,1.042027,0,0,0,10,265,3816,10
2,24,4110,2590,1520,1.004644,0,0,0,6,265,3839,6
2,25,4277,2688,1589,1.040633,0,0,0,11,280,3986,11
2,26,4236,2540,1696,0.990414,0,0,0,6,395,3835,6
2,27,4070,2477,1593,0.960812,0,0,0,5,315,3750,5
2,28,3949,2464,1485,0.97027,0,0,0,4,240,3705,4
2,29,4001,2557,1444,1.013168,0,0,1,0,200,3800,1
2,30,4086,2598,1488,1.021245,0,0,0,0,244,3842,0
